"Title","URL","Time","Author","Type"
"[聽聖經學英語]中英聖經 創世紀第十二章 呼召亞伯拉罕 Genesis 12","https://www.youtube.com/watch?v=0Z3OOm1pf-0","59次","[聽聖經學英語Listen to Bible]中英聖經","item"
"空中聖經學院~創世記(23)-十五章","https://www.youtube.com/watch?v=RXC78xKDFPc","7827次","GOOD TV 好消息電視台","item"
"世界的开始 - 儿童圣经软件","https://www.youtube.com/watch?v=YdR1UlkHkTo","2.5萬次","儿童圣经软件","item"
"[聽聖經學英語]中英聖經 創世紀第三十一章 雅各逃離拉班 Genesis 31","https://www.youtube.com/watch?v=OaU1VLuUKdw","53次","[聽聖經學英語Listen to Bible]中英聖經","item"
"耶稣电影 - 中文 - Mandarin - Chinese 🇨🇳🇹🇼 - 1Billion.org 耶稣基督 - 耶稣基督是上帝吗? - 神 - 认识上帝","https://www.youtube.com/watch?v=qGsaYPg3mLE","46萬次","1Billion You","item"
"聖經不敢告訴你的秘密，夏娃的第一個男人竟然是撒旦，而且還有一個私生子。","https://www.youtube.com/watch?v=T8evGftVIb0","2.3萬次","Mrs.Y's Studio環球快訊綜合頻道","item"
"創世記14章/陪你讀聖經《眼前的好，不會比神的心意更好》","https://www.youtube.com/watch?v=YhQC_qVZiRg","9401次","JAM愛的影響力","item"
"[聽聖經學英語]中英聖經 創世紀第十四章 亞伯拉罕救回羅德 Genesis 14","https://www.youtube.com/watch?v=GV7tUW5yAKY","35次","[聽聖經學英語Listen to Bible]中英聖經","item"
"華語舊約聖經 創世紀          第 13 章             現代中文譯本2019版","https://www.youtube.com/watch?v=uVMaU6DRDcw","5次","蘇俊雄","item"
"創世記17章/陪你讀聖經《在上帝的愛裡，你有一個新身份》","https://www.youtube.com/watch?v=CNBmY1rLOiE","8103次","JAM愛的影響力","item"
"[聽聖經學英語]中英聖經 創世紀第二十六章 以撒與亞比米勒 Genesis 26","https://www.youtube.com/watch?v=ceFmkr013zo","30次","[聽聖經學英語Listen to Bible]中英聖經","item"
